Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;0 años;Hombres;1 de enero de 2020;1.474
Total Nacional;02 Albacete;0 años;Mujeres;1 de enero de 2020;1.381
Total Nacional;02 Albacete;1 año;Hombres;1 de enero de 2020;1.565
Total Nacional;02 Albacete;1 año;Mujeres;1 de enero de 2020;1.471
Total Nacional;02 Albacete;2 años;Hombres;1 de enero de 2020;1.702
Total Nacional;02 Albacete;2 años;Mujeres;1 de enero de 2020;1.553
Total Nacional;02 Albacete;3 años;Hombres;1 de enero de 2020;1.750
Total Nacional;02 Albacete;3 años;Mujeres;1 de enero de 2020;1.626
Total Nacional;02 Albacete;4 años;Hombres;1 de enero de 2020;1.854
Total Nacional;02 Albacete;4 años;Mujeres;1 de enero de 2020;1.701
Total Nacional;02 Albacete;5 años;Hombres;1 de enero de 2020;1.879
Total Nacional;02 Albacete;5 años;Mujeres;1 de enero de 2020;1.695
Total Nacional;02 Albacete;6 años;Hombres;1 de enero de 2020;1.920
Total Nacional;02 Albacete;6 años;Mujeres;1 de enero de 2020;1.665
Total Nacional;02 Albacete;7 años;Hombres;1 de enero de 2020;1.847
Total Nacional;02 Albacete;7 años;Mujeres;1 de enero de 2020;1.791
Total Nacional;02 Albacete;8 años;Hombres;1 de enero de 2020;2.052
Total Nacional;02 Albacete;8 años;Mujeres;1 de enero de 2020;1.822
Total Nacional;02 Albacete;9 años;Hombres;1 de enero de 2020;1.988
Total Nacional;02 Albacete;9 años;Mujeres;1 de enero de 2020;1.909
Total Nacional;02 Albacete;10 años;Hombres;1 de enero de 2020;2.055
Total Nacional;02 Albacete;10 años;Mujeres;1 de enero de 2020;2.006
Total Nacional;02 Albacete;11 años;Hombres;1 de enero de 2020;2.131
Total Nacional;02 Albacete;11 años;Mujeres;1 de enero de 2020;1.989
Total Nacional;02 Albacete;12 años;Hombres;1 de enero de 2020;2.127
Total Nacional;02 Albacete;12 años;Mujeres;1 de enero de 2020;1.943
Total Nacional;02 Albacete;13 años;Hombres;1 de enero de 2020;2.109
Total Nacional;02 Albacete;13 años;Mujeres;1 de enero de 2020;1.985
Total Nacional;02 Albacete;14 años;Hombres;1 de enero de 2020;1.995
Total Nacional;02 Albacete;14 años;Mujeres;1 de enero de 2020;1.889
Total Nacional;02 Albacete;15 años;Hombres;1 de enero de 2020;2.074
Total Nacional;02 Albacete;15 años;Mujeres;1 de enero de 2020;1.835
Total Nacional;02 Albacete;16 años;Hombres;1 de enero de 2020;2.073
Total Nacional;02 Albacete;16 años;Mujeres;1 de enero de 2020;2.003
Total Nacional;02 Albacete;17 años;Hombres;1 de enero de 2020;2.018
Total Nacional;02 Albacete;17 años;Mujeres;1 de enero de 2020;1.984
Total Nacional;02 Albacete;18 años;Hombres;1 de enero de 2020;2.055
Total Nacional;02 Albacete;18 años;Mujeres;1 de enero de 2020;1.978
Total Nacional;02 Albacete;19 años;Hombres;1 de enero de 2020;2.125
Total Nacional;02 Albacete;19 años;Mujeres;1 de enero de 2020;2.069
Total Nacional;02 Albacete;20 años;Hombres;1 de enero de 2020;2.177
Total Nacional;02 Albacete;20 años;Mujeres;1 de enero de 2020;2.020
Total Nacional;02 Albacete;21 años;Hombres;1 de enero de 2020;2.200
Total Nacional;02 Albacete;21 años;Mujeres;1 de enero de 2020;2.034
Total Nacional;02 Albacete;22 años;Hombres;1 de enero de 2020;2.160
Total Nacional;02 Albacete;22 años;Mujeres;1 de enero de 2020;2.021
Total Nacional;02 Albacete;23 años;Hombres;1 de enero de 2020;2.185
Total Nacional;02 Albacete;23 años;Mujeres;1 de enero de 2020;2.036
Total Nacional;02 Albacete;24 años;Hombres;1 de enero de 2020;2.294
Total Nacional;02 Albacete;24 años;Mujeres;1 de enero de 2020;1.960
Total Nacional;02 Albacete;25 años;Hombres;1 de enero de 2020;2.247
Total Nacional;02 Albacete;25 años;Mujeres;1 de enero de 2020;2.011
Total Nacional;02 Albacete;26 años;Hombres;1 de enero de 2020;2.196
Total Nacional;02 Albacete;26 años;Mujeres;1 de enero de 2020;1.945
Total Nacional;02 Albacete;27 años;Hombres;1 de enero de 2020;2.239
Total Nacional;02 Albacete;27 años;Mujeres;1 de enero de 2020;2.167
Total Nacional;02 Albacete;28 años;Hombres;1 de enero de 2020;2.313
Total Nacional;02 Albacete;28 años;Mujeres;1 de enero de 2020;2.126
Total Nacional;02 Albacete;29 años;Hombres;1 de enero de 2020;2.389
Total Nacional;02 Albacete;29 años;Mujeres;1 de enero de 2020;2.220
Total Nacional;02 Albacete;30 años;Hombres;1 de enero de 2020;2.329
Total Nacional;02 Albacete;30 años;Mujeres;1 de enero de 2020;2.150
Total Nacional;02 Albacete;31 años;Hombres;1 de enero de 2020;2.256
Total Nacional;02 Albacete;31 años;Mujeres;1 de enero de 2020;2.117
Total Nacional;02 Albacete;32 años;Hombres;1 de enero de 2020;2.402
Total Nacional;02 Albacete;32 años;Mujeres;1 de enero de 2020;2.282
Total Nacional;02 Albacete;33 años;Hombres;1 de enero de 2020;2.415
Total Nacional;02 Albacete;33 años;Mujeres;1 de enero de 2020;2.261
Total Nacional;02 Albacete;34 años;Hombres;1 de enero de 2020;2.383
Total Nacional;02 Albacete;34 años;Mujeres;1 de enero de 2020;2.269
Total Nacional;02 Albacete;35 años;Hombres;1 de enero de 2020;2.503
Total Nacional;02 Albacete;35 años;Mujeres;1 de enero de 2020;2.341
Total Nacional;02 Albacete;36 años;Hombres;1 de enero de 2020;2.589
Total Nacional;02 Albacete;36 años;Mujeres;1 de enero de 2020;2.366
Total Nacional;02 Albacete;37 años;Hombres;1 de enero de 2020;2.725
Total Nacional;02 Albacete;37 años;Mujeres;1 de enero de 2020;2.535
Total Nacional;02 Albacete;38 años;Hombres;1 de enero de 2020;2.852
