Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;0 años;Hombres;1 de enero de 2022;1.427
Total Nacional;02 Albacete;0 años;Mujeres;1 de enero de 2022;1.302
Total Nacional;02 Albacete;1 año;Hombres;1 de enero de 2022;1.414
Total Nacional;02 Albacete;1 año;Mujeres;1 de enero de 2022;1.357
Total Nacional;02 Albacete;2 años;Hombres;1 de enero de 2022;1.470
Total Nacional;02 Albacete;2 años;Mujeres;1 de enero de 2022;1.359
Total Nacional;02 Albacete;3 años;Hombres;1 de enero de 2022;1.598
Total Nacional;02 Albacete;3 años;Mujeres;1 de enero de 2022;1.486
Total Nacional;02 Albacete;4 años;Hombres;1 de enero de 2022;1.727
Total Nacional;02 Albacete;4 años;Mujeres;1 de enero de 2022;1.569
Total Nacional;02 Albacete;5 años;Hombres;1 de enero de 2022;1.768
Total Nacional;02 Albacete;5 años;Mujeres;1 de enero de 2022;1.638
Total Nacional;02 Albacete;6 años;Hombres;1 de enero de 2022;1.860
Total Nacional;02 Albacete;6 años;Mujeres;1 de enero de 2022;1.716
Total Nacional;02 Albacete;7 años;Hombres;1 de enero de 2022;1.911
Total Nacional;02 Albacete;7 años;Mujeres;1 de enero de 2022;1.724
Total Nacional;02 Albacete;8 años;Hombres;1 de enero de 2022;1.926
Total Nacional;02 Albacete;8 años;Mujeres;1 de enero de 2022;1.702
Total Nacional;02 Albacete;9 años;Hombres;1 de enero de 2022;1.868
Total Nacional;02 Albacete;9 años;Mujeres;1 de enero de 2022;1.840
Total Nacional;02 Albacete;10 años;Hombres;1 de enero de 2022;2.081
Total Nacional;02 Albacete;10 años;Mujeres;1 de enero de 2022;1.855
Total Nacional;02 Albacete;11 años;Hombres;1 de enero de 2022;2.011
Total Nacional;02 Albacete;11 años;Mujeres;1 de enero de 2022;1.937
Total Nacional;02 Albacete;12 años;Hombres;1 de enero de 2022;2.078
Total Nacional;02 Albacete;12 años;Mujeres;1 de enero de 2022;2.010
Total Nacional;02 Albacete;13 años;Hombres;1 de enero de 2022;2.130
Total Nacional;02 Albacete;13 años;Mujeres;1 de enero de 2022;2.008
Total Nacional;02 Albacete;14 años;Hombres;1 de enero de 2022;2.134
Total Nacional;02 Albacete;14 años;Mujeres;1 de enero de 2022;1.962
Total Nacional;02 Albacete;15 años;Hombres;1 de enero de 2022;2.131
Total Nacional;02 Albacete;15 años;Mujeres;1 de enero de 2022;2.012
Total Nacional;02 Albacete;16 años;Hombres;1 de enero de 2022;2.014
Total Nacional;02 Albacete;16 años;Mujeres;1 de enero de 2022;1.894
Total Nacional;02 Albacete;17 años;Hombres;1 de enero de 2022;2.106
Total Nacional;02 Albacete;17 años;Mujeres;1 de enero de 2022;1.860
Total Nacional;02 Albacete;18 años;Hombres;1 de enero de 2022;2.106
Total Nacional;02 Albacete;18 años;Mujeres;1 de enero de 2022;2.013
Total Nacional;02 Albacete;19 años;Hombres;1 de enero de 2022;2.077
Total Nacional;02 Albacete;19 años;Mujeres;1 de enero de 2022;2.021
Total Nacional;02 Albacete;20 años;Hombres;1 de enero de 2022;2.085
Total Nacional;02 Albacete;20 años;Mujeres;1 de enero de 2022;1.997
Total Nacional;02 Albacete;21 años;Hombres;1 de enero de 2022;2.182
Total Nacional;02 Albacete;21 años;Mujeres;1 de enero de 2022;2.077
Total Nacional;02 Albacete;22 años;Hombres;1 de enero de 2022;2.221
Total Nacional;02 Albacete;22 años;Mujeres;1 de enero de 2022;2.032
Total Nacional;02 Albacete;23 años;Hombres;1 de enero de 2022;2.261
Total Nacional;02 Albacete;23 años;Mujeres;1 de enero de 2022;2.053
Total Nacional;02 Albacete;24 años;Hombres;1 de enero de 2022;2.158
