Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;24 años;Mujeres;1 de enero de 2022;2.030
Total Nacional;02 Albacete;25 años;Hombres;1 de enero de 2022;2.192
Total Nacional;02 Albacete;25 años;Mujeres;1 de enero de 2022;1.987
Total Nacional;02 Albacete;26 años;Hombres;1 de enero de 2022;2.310
Total Nacional;02 Albacete;26 años;Mujeres;1 de enero de 2022;1.939
Total Nacional;02 Albacete;27 años;Hombres;1 de enero de 2022;2.257
Total Nacional;02 Albacete;27 años;Mujeres;1 de enero de 2022;1.980
Total Nacional;02 Albacete;28 años;Hombres;1 de enero de 2022;2.195
Total Nacional;02 Albacete;28 años;Mujeres;1 de enero de 2022;1.936
Total Nacional;02 Albacete;29 años;Hombres;1 de enero de 2022;2.238
Total Nacional;02 Albacete;29 años;Mujeres;1 de enero de 2022;2.107
Total Nacional;02 Albacete;30 años;Hombres;1 de enero de 2022;2.326
Total Nacional;02 Albacete;30 años;Mujeres;1 de enero de 2022;2.105
Total Nacional;02 Albacete;31 años;Hombres;1 de enero de 2022;2.400
Total Nacional;02 Albacete;31 años;Mujeres;1 de enero de 2022;2.181
Total Nacional;02 Albacete;32 años;Hombres;1 de enero de 2022;2.358
Total Nacional;02 Albacete;32 años;Mujeres;1 de enero de 2022;2.089
Total Nacional;02 Albacete;33 años;Hombres;1 de enero de 2022;2.274
Total Nacional;02 Albacete;33 años;Mujeres;1 de enero de 2022;2.112
Total Nacional;02 Albacete;34 años;Hombres;1 de enero de 2022;2.374
Total Nacional;02 Albacete;34 años;Mujeres;1 de enero de 2022;2.262
Total Nacional;02 Albacete;35 años;Hombres;1 de enero de 2022;2.404
Total Nacional;02 Albacete;35 años;Mujeres;1 de enero de 2022;2.259
Total Nacional;02 Albacete;36 años;Hombres;1 de enero de 2022;2.389
Total Nacional;02 Albacete;36 años;Mujeres;1 de enero de 2022;2.269
Total Nacional;02 Albacete;37 años;Hombres;1 de enero de 2022;2.513
Total Nacional;02 Albacete;37 años;Mujeres;1 de enero de 2022;2.349
Total Nacional;02 Albacete;38 años;Hombres;1 de enero de 2022;2.605
Total Nacional;02 Albacete;38 años;Mujeres;1 de enero de 2022;2.376
Total Nacional;02 Albacete;39 años;Hombres;1 de enero de 2022;2.765
Total Nacional;02 Albacete;39 años;Mujeres;1 de enero de 2022;2.522
Total Nacional;02 Albacete;40 años;Hombres;1 de enero de 2022;2.875
Total Nacional;02 Albacete;40 años;Mujeres;1 de enero de 2022;2.624
Total Nacional;02 Albacete;41 años;Hombres;1 de enero de 2022;2.904
Total Nacional;02 Albacete;41 años;Mujeres;1 de enero de 2022;2.720
Total Nacional;02 Albacete;42 años;Hombres;1 de enero de 2022;3.059
Total Nacional;02 Albacete;42 años;Mujeres;1 de enero de 2022;2.825
Total Nacional;02 Albacete;43 años;Hombres;1 de enero de 2022;3.253
Total Nacional;02 Albacete;43 años;Mujeres;1 de enero de 2022;2.951
Total Nacional;02 Albacete;44 años;Hombres;1 de enero de 2022;3.154
Total Nacional;02 Albacete;44 años;Mujeres;1 de enero de 2022;2.926
Total Nacional;02 Albacete;45 años;Hombres;1 de enero de 2022;3.210
Total Nacional;02 Albacete;45 años;Mujeres;1 de enero de 2022;3.119
Total Nacional;02 Albacete;46 años;Hombres;1 de enero de 2022;3.182
Total Nacional;02 Albacete;46 años;Mujeres;1 de enero de 2022;3.089
Total Nacional;02 Albacete;47 años;Hombres;1 de enero de 2022;3.179
Total Nacional;02 Albacete;47 años;Mujeres;1 de enero de 2022;3.055
Total Nacional;02 Albacete;48 años;Hombres;1 de enero de 2022;3.158
Total Nacional;02 Albacete;48 años;Mujeres;1 de enero de 2022;2.953
Total Nacional;02 Albacete;49 años;Hombres;1 de enero de 2022;3.069
Total Nacional;02 Albacete;49 años;Mujeres;1 de enero de 2022;3.002
Total Nacional;02 Albacete;50 años;Hombres;1 de enero de 2022;3.094
Total Nacional;02 Albacete;50 años;Mujeres;1 de enero de 2022;2.931
Total Nacional;02 Albacete;51 años;Hombres;1 de enero de 2022;3.051
Total Nacional;02 Albacete;51 años;Mujeres;1 de enero de 2022;3.078
Total Nacional;02 Albacete;52 años;Hombres;1 de enero de 2022;3.129
Total Nacional;02 Albacete;52 años;Mujeres;1 de enero de 2022;3.143
Total Nacional;02 Albacete;53 años;Hombres;1 de enero de 2022;3.128
Total Nacional;02 Albacete;53 años;Mujeres;1 de enero de 2022;3.095
Total Nacional;02 Albacete;54 años;Hombres;1 de enero de 2022;3.093
Total Nacional;02 Albacete;54 años;Mujeres;1 de enero de 2022;3.033
Total Nacional;02 Albacete;55 años;Hombres;1 de enero de 2022;3.069
Total Nacional;02 Albacete;55 años;Mujeres;1 de enero de 2022;3.035
Total Nacional;02 Albacete;56 años;Hombres;1 de enero de 2022;3.085
Total Nacional;02 Albacete;56 años;Mujeres;1 de enero de 2022;3.056
Total Nacional;02 Albacete;57 años;Hombres;1 de enero de 2022;3.191
Total Nacional;02 Albacete;57 años;Mujeres;1 de enero de 2022;3.153
Total Nacional;02 Albacete;58 años;Hombres;1 de enero de 2022;3.023
Total Nacional;02 Albacete;58 años;Mujeres;1 de enero de 2022;2.997
Total Nacional;02 Albacete;59 años;Hombres;1 de enero de 2022;2.803
Total Nacional;02 Albacete;59 años;Mujeres;1 de enero de 2022;2.902
Total Nacional;02 Albacete;60 años;Hombres;1 de enero de 2022;2.835
Total Nacional;02 Albacete;60 años;Mujeres;1 de enero de 2022;2.736
Total Nacional;02 Albacete;61 años;Hombres;1 de enero de 2022;2.860
Total Nacional;02 Albacete;61 años;Mujeres;1 de enero de 2022;2.776
Total Nacional;02 Albacete;62 años;Hombres;1 de enero de 2022;2.768
Total Nacional;02 Albacete;62 años;Mujeres;1 de enero de 2022;2.647
Total Nacional;02 Albacete;63 años;Hombres;1 de enero de 2022;2.478
Total Nacional;02 Albacete;63 años;Mujeres;1 de enero de 2022;2.573
Total Nacional;02 Albacete;64 años;Hombres;1 de enero de 2022;2.377
Total Nacional;02 Albacete;64 años;Mujeres;1 de enero de 2022;2.406
Total Nacional;02 Albacete;65 años;Hombres;1 de enero de 2022;1.989
Total Nacional;02 Albacete;65 años;Mujeres;1 de enero de 2022;2.071
Total Nacional;02 Albacete;66 años;Hombres;1 de enero de 2022;1.917
Total Nacional;02 Albacete;66 años;Mujeres;1 de enero de 2022;2.081
Total Nacional;02 Albacete;67 años;Hombres;1 de enero de 2022;1.837
Total Nacional;02 Albacete;67 años;Mujeres;1 de enero de 2022;1.983
Total Nacional;02 Albacete;68 años;Hombres;1 de enero de 2022;1.804
Total Nacional;02 Albacete;68 años;Mujeres;1 de enero de 2022;1.994
Total Nacional;02 Albacete;69 años;Hombres;1 de enero de 2022;1.825
Total Nacional;02 Albacete;69 años;Mujeres;1 de enero de 2022;1.907
Total Nacional;02 Albacete;70 años;Hombres;1 de enero de 2022;1.635
Total Nacional;02 Albacete;70 años;Mujeres;1 de enero de 2022;1.720
Total Nacional;02 Albacete;71 años;Hombres;1 de enero de 2022;1.620
Total Nacional;02 Albacete;71 años;Mujeres;1 de enero de 2022;1.797
Total Nacional;02 Albacete;72 años;Hombres;1 de enero de 2022;1.662
Total Nacional;02 Albacete;72 años;Mujeres;1 de enero de 2022;1.738
Total Nacional;02 Albacete;73 años;Hombres;1 de enero de 2022;1.694
Total Nacional;02 Albacete;73 años;Mujeres;1 de enero de 2022;1.955
Total Nacional;02 Albacete;74 años;Hombres;1 de enero de 2022;1.455
Total Nacional;02 Albacete;74 años;Mujeres;1 de enero de 2022;1.635
Total Nacional;02 Albacete;75 años;Hombres;1 de enero de 2022;1.302
Total Nacional;02 Albacete;75 años;Mujeres;1 de enero de 2022;1.569
Total Nacional;02 Albacete;76 años;Hombres;1 de enero de 2022;1.387
Total Nacional;02 Albacete;76 años;Mujeres;1 de enero de 2022;1.614
Total Nacional;02 Albacete;77 años;Hombres;1 de enero de 2022;1.258
Total Nacional;02 Albacete;77 años;Mujeres;1 de enero de 2022;1.681
Total Nacional;02 Albacete;78 años;Hombres;1 de enero de 2022;1.309
Total Nacional;02 Albacete;78 años;Mujeres;1 de enero de 2022;1.563
Total Nacional;02 Albacete;79 años;Hombres;1 de enero de 2022;1.095
Total Nacional;02 Albacete;79 años;Mujeres;1 de enero de 2022;1.442
Total Nacional;02 Albacete;80 años;Hombres;1 de enero de 2022;975
Total Nacional;02 Albacete;80 años;Mujeres;1 de enero de 2022;1.284
Total Nacional;02 Albacete;81 años;Hombres;1 de enero de 2022;1.405
Total Nacional;02 Albacete;81 años;Mujeres;1 de enero de 2022;1.801
Total Nacional;02 Albacete;82 años;Hombres;1 de enero de 2022;625
Total Nacional;02 Albacete;82 años;Mujeres;1 de enero de 2022;890
Total Nacional;02 Albacete;83 años;Hombres;1 de enero de 2022;880
Total Nacional;02 Albacete;83 años;Mujeres;1 de enero de 2022;1.261
Total Nacional;02 Albacete;84 años;Hombres;1 de enero de 2022;920
Total Nacional;02 Albacete;84 años;Mujeres;1 de enero de 2022;1.259
Total Nacional;02 Albacete;85 años;Hombres;1 de enero de 2022;866
Total Nacional;02 Albacete;85 años;Mujeres;1 de enero de 2022;1.270
Total Nacional;02 Albacete;86 años;Hombres;1 de enero de 2022;781
Total Nacional;02 Albacete;86 años;Mujeres;1 de enero de 2022;1.172
Total Nacional;02 Albacete;87 años;Hombres;1 de enero de 2022;674
Total Nacional;02 Albacete;87 años;Mujeres;1 de enero de 2022;1.026
Total Nacional;02 Albacete;88 años;Hombres;1 de enero de 2022;605
Total Nacional;02 Albacete;88 años;Mujeres;1 de enero de 2022;1.025
Total Nacional;02 Albacete;89 años;Hombres;1 de enero de 2022;536
Total Nacional;02 Albacete;89 años;Mujeres;1 de enero de 2022;842
Total Nacional;02 Albacete;90 años;Hombres;1 de enero de 2022;455
Total Nacional;02 Albacete;90 años;Mujeres;1 de enero de 2022;764
Total Nacional;02 Albacete;91 años;Hombres;1 de enero de 2022;375
Total Nacional;02 Albacete;91 años;Mujeres;1 de enero de 2022;674
Total Nacional;02 Albacete;92 años;Hombres;1 de enero de 2022;287
Total Nacional;02 Albacete;92 años;Mujeres;1 de enero de 2022;516
Total Nacional;02 Albacete;93 años;Hombres;1 de enero de 2022;207
Total Nacional;02 Albacete;93 años;Mujeres;1 de enero de 2022;410
Total Nacional;02 Albacete;94 años;Hombres;1 de enero de 2022;165
Total Nacional;02 Albacete;94 años;Mujeres;1 de enero de 2022;317
Total Nacional;02 Albacete;95 años;Hombres;1 de enero de 2022;103
Total Nacional;02 Albacete;95 años;Mujeres;1 de enero de 2022;235
Total Nacional;02 Albacete;96 años;Hombres;1 de enero de 2022;80
Total Nacional;02 Albacete;96 años;Mujeres;1 de enero de 2022;161
Total Nacional;02 Albacete;97 años;Hombres;1 de enero de 2022;48
Total Nacional;02 Albacete;97 años;Mujeres;1 de enero de 2022;113
Total Nacional;02 Albacete;98 años;Hombres;1 de enero de 2022;39
Total Nacional;02 Albacete;98 años;Mujeres;1 de enero de 2022;80
Total Nacional;02 Albacete;99 años;Hombres;1 de enero de 2022;18
Total Nacional;02 Albacete;99 años;Mujeres;1 de enero de 2022;58
Total Nacional;02 Albacete;100 y más años;Hombres;1 de enero de 2022;32
Total Nacional;02 Albacete;100 y más años;Mujeres;1 de enero de 2022;71
Total Nacional;03 Alicante/Alacant;0 años;Hombres;1 de enero de 2022;6.918
Total Nacional;03 Alicante/Alacant;0 años;Mujeres;1 de enero de 2022;6.458
Total Nacional;03 Alicante/Alacant;1 año;Hombres;1 de enero de 2022;7.047
Total Nacional;03 Alicante/Alacant;1 año;Mujeres;1 de enero de 2022;6.724
Total Nacional;03 Alicante/Alacant;2 años;Hombres;1 de enero de 2022;7.400
Total Nacional;03 Alicante/Alacant;2 años;Mujeres;1 de enero de 2022;6.848
Total Nacional;03 Alicante/Alacant;3 años;Hombres;1 de enero de 2022;7.765
Total Nacional;03 Alicante/Alacant;3 años;Mujeres;1 de enero de 2022;7.270
Total Nacional;03 Alicante/Alacant;4 años;Hombres;1 de enero de 2022;8.409
Total Nacional;03 Alicante/Alacant;4 años;Mujeres;1 de enero de 2022;7.982
Total Nacional;03 Alicante/Alacant;5 años;Hombres;1 de enero de 2022;8.859
Total Nacional;03 Alicante/Alacant;5 años;Mujeres;1 de enero de 2022;8.074
Total Nacional;03 Alicante/Alacant;6 años;Hombres;1 de enero de 2022;9.130
Total Nacional;03 Alicante/Alacant;6 años;Mujeres;1 de enero de 2022;8.557
Total Nacional;03 Alicante/Alacant;7 años;Hombres;1 de enero de 2022;9.167
Total Nacional;03 Alicante/Alacant;7 años;Mujeres;1 de enero de 2022;8.774
Total Nacional;03 Alicante/Alacant;8 años;Hombres;1 de enero de 2022;9.254
Total Nacional;03 Alicante/Alacant;8 años;Mujeres;1 de enero de 2022;8.568
Total Nacional;03 Alicante/Alacant;9 años;Hombres;1 de enero de 2022;9.561
Total Nacional;03 Alicante/Alacant;9 años;Mujeres;1 de enero de 2022;9.107
Total Nacional;03 Alicante/Alacant;10 años;Hombres;1 de enero de 2022;10.003
Total Nacional;03 Alicante/Alacant;10 años;Mujeres;1 de enero de 2022;9.137
Total Nacional;03 Alicante/Alacant;11 años;Hombres;1 de enero de 2022;10.269
Total Nacional;03 Alicante/Alacant;11 años;Mujeres;1 de enero de 2022;9.618
Total Nacional;03 Alicante/Alacant;12 años;Hombres;1 de enero de 2022;10.479
Total Nacional;03 Alicante/Alacant;12 años;Mujeres;1 de enero de 2022;9.827
Total Nacional;03 Alicante/Alacant;13 años;Hombres;1 de enero de 2022;11.124
Total Nacional;03 Alicante/Alacant;13 años;Mujeres;1 de enero de 2022;10.555
Total Nacional;03 Alicante/Alacant;14 años;Hombres;1 de enero de 2022;10.760
Total Nacional;03 Alicante/Alacant;14 años;Mujeres;1 de enero de 2022;10.145
Total Nacional;03 Alicante/Alacant;15 años;Hombres;1 de enero de 2022;10.693
Total Nacional;03 Alicante/Alacant;15 años;Mujeres;1 de enero de 2022;10.058
Total Nacional;03 Alicante/Alacant;16 años;Hombres;1 de enero de 2022;10.407
Total Nacional;03 Alicante/Alacant;16 años;Mujeres;1 de enero de 2022;9.845
Total Nacional;03 Alicante/Alacant;17 años;Hombres;1 de enero de 2022;10.451
Total Nacional;03 Alicante/Alacant;17 años;Mujeres;1 de enero de 2022;9.669
Total Nacional;03 Alicante/Alacant;18 años;Hombres;1 de enero de 2022;10.248
Total Nacional;03 Alicante/Alacant;18 años;Mujeres;1 de enero de 2022;9.555
Total Nacional;03 Alicante/Alacant;19 años;Hombres;1 de enero de 2022;9.854
Total Nacional;03 Alicante/Alacant;19 años;Mujeres;1 de enero de 2022;9.201
Total Nacional;03 Alicante/Alacant;20 años;Hombres;1 de enero de 2022;10.098
Total Nacional;03 Alicante/Alacant;20 años;Mujeres;1 de enero de 2022;9.218
Total Nacional;03 Alicante/Alacant;21 años;Hombres;1 de enero de 2022;10.182
Total Nacional;03 Alicante/Alacant;21 años;Mujeres;1 de enero de 2022;9.317
Total Nacional;03 Alicante/Alacant;22 años;Hombres;1 de enero de 2022;9.544
Total Nacional;03 Alicante/Alacant;22 años;Mujeres;1 de enero de 2022;9.324
Total Nacional;03 Alicante/Alacant;23 años;Hombres;1 de enero de 2022;9.736
Total Nacional;03 Alicante/Alacant;23 años;Mujeres;1 de enero de 2022;8.983
Total Nacional;03 Alicante/Alacant;24 años;Hombres;1 de enero de 2022;9.737
Total Nacional;03 Alicante/Alacant;24 años;Mujeres;1 de enero de 2022;9.019
Total Nacional;03 Alicante/Alacant;25 años;Hombres;1 de enero de 2022;9.704
Total Nacional;03 Alicante/Alacant;25 años;Mujeres;1 de enero de 2022;9.232
Total Nacional;03 Alicante/Alacant;26 años;Hombres;1 de enero de 2022;9.774
Total Nacional;03 Alicante/Alacant;26 años;Mujeres;1 de enero de 2022;9.249
Total Nacional;03 Alicante/Alacant;27 años;Hombres;1 de enero de 2022;9.671
Total Nacional;03 Alicante/Alacant;27 años;Mujeres;1 de enero de 2022;9.247
Total Nacional;03 Alicante/Alacant;28 años;Hombres;1 de enero de 2022;10.043
Total Nacional;03 Alicante/Alacant;28 años;Mujeres;1 de enero de 2022;9.382
Total Nacional;03 Alicante/Alacant;29 años;Hombres;1 de enero de 2022;10.352
Total Nacional;03 Alicante/Alacant;29 años;Mujeres;1 de enero de 2022;10.047
Total Nacional;03 Alicante/Alacant;30 años;Hombres;1 de enero de 2022;10.551
Total Nacional;03 Alicante/Alacant;30 años;Mujeres;1 de enero de 2022;10.109
Total Nacional;03 Alicante/Alacant;31 años;Hombres;1 de enero de 2022;10.759
Total Nacional;03 Alicante/Alacant;31 años;Mujeres;1 de enero de 2022;10.215
Total Nacional;03 Alicante/Alacant;32 años;Hombres;1 de enero de 2022;10.651
Total Nacional;03 Alicante/Alacant;32 años;Mujeres;1 de enero de 2022;10.587
Total Nacional;03 Alicante/Alacant;33 años;Hombres;1 de enero de 2022;11.079
Total Nacional;03 Alicante/Alacant;33 años;Mujeres;1 de enero de 2022;10.997
Total Nacional;03 Alicante/Alacant;34 años;Hombres;1 de enero de 2022;11.142
Total Nacional;03 Alicante/Alacant;34 años;Mujeres;1 de enero de 2022;11.138
Total Nacional;03 Alicante/Alacant;35 años;Hombres;1 de enero de 2022;11.482
Total Nacional;03 Alicante/Alacant;35 años;Mujeres;1 de enero de 2022;11.512
Total Nacional;03 Alicante/Alacant;36 años;Hombres;1 de enero de 2022;11.715
Total Nacional;03 Alicante/Alacant;36 años;Mujeres;1 de enero de 2022;11.810
Total Nacional;03 Alicante/Alacant;37 años;Hombres;1 de enero de 2022;12.192
Total Nacional;03 Alicante/Alacant;37 años;Mujeres;1 de enero de 2022;12.225
Total Nacional;03 Alicante/Alacant;38 años;Hombres;1 de enero de 2022;12.627
Total Nacional;03 Alicante/Alacant;38 años;Mujeres;1 de enero de 2022;12.709
Total Nacional;03 Alicante/Alacant;39 años;Hombres;1 de enero de 2022;13.432
Total Nacional;03 Alicante/Alacant;39 años;Mujeres;1 de enero de 2022;13.393
Total Nacional;03 Alicante/Alacant;40 años;Hombres;1 de enero de 2022;14.223
Total Nacional;03 Alicante/Alacant;40 años;Mujeres;1 de enero de 2022;13.866
Total Nacional;03 Alicante/Alacant;41 años;Hombres;1 de enero de 2022;14.976
Total Nacional;03 Alicante/Alacant;41 años;Mujeres;1 de enero de 2022;14.655
Total Nacional;03 Alicante/Alacant;42 años;Hombres;1 de enero de 2022;15.458
Total Nacional;03 Alicante/Alacant;42 años;Mujeres;1 de enero de 2022;14.945
Total Nacional;03 Alicante/Alacant;43 años;Hombres;1 de enero de 2022;16.037
Total Nacional;03 Alicante/Alacant;43 años;Mujeres;1 de enero de 2022;15.478
Total Nacional;03 Alicante/Alacant;44 años;Hombres;1 de enero de 2022;16.415
Total Nacional;03 Alicante/Alacant;44 años;Mujeres;1 de enero de 2022;15.591
Total Nacional;03 Alicante/Alacant;45 años;Hombres;1 de enero de 2022;16.490
Total Nacional;03 Alicante/Alacant;45 años;Mujeres;1 de enero de 2022;15.874
Total Nacional;03 Alicante/Alacant;46 años;Hombres;1 de enero de 2022;16.202
Total Nacional;03 Alicante/Alacant;46 años;Mujeres;1 de enero de 2022;15.455
Total Nacional;03 Alicante/Alacant;47 años;Hombres;1 de enero de 2022;16.236
Total Nacional;03 Alicante/Alacant;47 años;Mujeres;1 de enero de 2022;15.623
Total Nacional;03 Alicante/Alacant;48 años;Hombres;1 de enero de 2022;15.898
Total Nacional;03 Alicante/Alacant;48 años;Mujeres;1 de enero de 2022;15.134
Total Nacional;03 Alicante/Alacant;49 años;Hombres;1 de enero de 2022;15.537
Total Nacional;03 Alicante/Alacant;49 años;Mujeres;1 de enero de 2022;15.036
Total Nacional;03 Alicante/Alacant;50 años;Hombres;1 de enero de 2022;15.546
Total Nacional;03 Alicante/Alacant;50 años;Mujeres;1 de enero de 2022;14.944
Total Nacional;03 Alicante/Alacant;51 años;Hombres;1 de enero de 2022;15.288
Total Nacional;03 Alicante/Alacant;51 años;Mujeres;1 de enero de 2022;15.002
Total Nacional;03 Alicante/Alacant;52 años;Hombres;1 de enero de 2022;15.199
Total Nacional;03 Alicante/Alacant;52 años;Mujeres;1 de enero de 2022;14.716
Total Nacional;03 Alicante/Alacant;53 años;Hombres;1 de enero de 2022;14.759
Total Nacional;03 Alicante/Alacant;53 años;Mujeres;1 de enero de 2022;14.671
Total Nacional;03 Alicante/Alacant;54 años;Hombres;1 de enero de 2022;14.604
Total Nacional;03 Alicante/Alacant;54 años;Mujeres;1 de enero de 2022;14.933
Total Nacional;03 Alicante/Alacant;55 años;Hombres;1 de enero de 2022;14.399
Total Nacional;03 Alicante/Alacant;55 años;Mujeres;1 de enero de 2022;14.470
Total Nacional;03 Alicante/Alacant;56 años;Hombres;1 de enero de 2022;14.070
Total Nacional;03 Alicante/Alacant;56 años;Mujeres;1 de enero de 2022;14.278
Total Nacional;03 Alicante/Alacant;57 años;Hombres;1 de enero de 2022;14.590
Total Nacional;03 Alicante/Alacant;57 años;Mujeres;1 de enero de 2022;15.003
Total Nacional;03 Alicante/Alacant;58 años;Hombres;1 de enero de 2022;13.768
Total Nacional;03 Alicante/Alacant;58 años;Mujeres;1 de enero de 2022;14.023
Total Nacional;03 Alicante/Alacant;59 años;Hombres;1 de enero de 2022;13.190
Total Nacional;03 Alicante/Alacant;59 años;Mujeres;1 de enero de 2022;13.646
Total Nacional;03 Alicante/Alacant;60 años;Hombres;1 de enero de 2022;12.845
Total Nacional;03 Alicante/Alacant;60 años;Mujeres;1 de enero de 2022;13.410
Total Nacional;03 Alicante/Alacant;61 años;Hombres;1 de enero de 2022;12.763
Total Nacional;03 Alicante/Alacant;61 años;Mujeres;1 de enero de 2022;13.348
Total Nacional;03 Alicante/Alacant;62 años;Hombres;1 de enero de 2022;12.398
Total Nacional;03 Alicante/Alacant;62 años;Mujeres;1 de enero de 2022;13.219
Total Nacional;03 Alicante/Alacant;63 años;Hombres;1 de enero de 2022;12.278
Total Nacional;03 Alicante/Alacant;63 años;Mujeres;1 de enero de 2022;13.061
Total Nacional;03 Alicante/Alacant;64 años;Hombres;1 de enero de 2022;11.894
Total Nacional;03 Alicante/Alacant;64 años;Mujeres;1 de enero de 2022;12.825
Total Nacional;03 Alicante/Alacant;65 años;Hombres;1 de enero de 2022;10.739
Total Nacional;03 Alicante/Alacant;65 años;Mujeres;1 de enero de 2022;11.941
Total Nacional;03 Alicante/Alacant;66 años;Hombres;1 de enero de 2022;10.789
Total Nacional;03 Alicante/Alacant;66 años;Mujeres;1 de enero de 2022;11.886
Total Nacional;03 Alicante/Alacant;67 años;Hombres;1 de enero de 2022;10.239
Total Nacional;03 Alicante/Alacant;67 años;Mujeres;1 de enero de 2022;11.141
Total Nacional;03 Alicante/Alacant;68 años;Hombres;1 de enero de 2022;10.390
Total Nacional;03 Alicante/Alacant;68 años;Mujeres;1 de enero de 2022;11.149
Total Nacional;03 Alicante/Alacant;69 años;Hombres;1 de enero de 2022;10.390
Total Nacional;03 Alicante/Alacant;69 años;Mujeres;1 de enero de 2022;11.205
Total Nacional;03 Alicante/Alacant;70 años;Hombres;1 de enero de 2022;9.730
Total Nacional;03 Alicante/Alacant;70 años;Mujeres;1 de enero de 2022;10.577
Total Nacional;03 Alicante/Alacant;71 años;Hombres;1 de enero de 2022;9.303
Total Nacional;03 Alicante/Alacant;71 años;Mujeres;1 de enero de 2022;10.316
Total Nacional;03 Alicante/Alacant;72 años;Hombres;1 de enero de 2022;9.034
Total Nacional;03 Alicante/Alacant;72 años;Mujeres;1 de enero de 2022;10.478
Total Nacional;03 Alicante/Alacant;73 años;Hombres;1 de enero de 2022;9.605
Total Nacional;03 Alicante/Alacant;73 años;Mujeres;1 de enero de 2022;10.790
Total Nacional;03 Alicante/Alacant;74 años;Hombres;1 de enero de 2022;9.001
Total Nacional;03 Alicante/Alacant;74 años;Mujeres;1 de enero de 2022;10.107
Total Nacional;03 Alicante/Alacant;75 años;Hombres;1 de enero de 2022;8.200
