Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;0 años;Hombres;1 de enero de 2023;1.390
Total Nacional;02 Albacete;0 años;Mujeres;1 de enero de 2023;1.272
Total Nacional;02 Albacete;1 año;Hombres;1 de enero de 2023;1.454
Total Nacional;02 Albacete;1 año;Mujeres;1 de enero de 2023;1.344
Total Nacional;02 Albacete;2 años;Hombres;1 de enero de 2023;1.414
Total Nacional;02 Albacete;2 años;Mujeres;1 de enero de 2023;1.376
Total Nacional;02 Albacete;3 años;Hombres;1 de enero de 2023;1.504
Total Nacional;02 Albacete;3 años;Mujeres;1 de enero de 2023;1.395
Total Nacional;02 Albacete;4 años;Hombres;1 de enero de 2023;1.623
Total Nacional;02 Albacete;4 años;Mujeres;1 de enero de 2023;1.510
Total Nacional;02 Albacete;5 años;Hombres;1 de enero de 2023;1.752
Total Nacional;02 Albacete;5 años;Mujeres;1 de enero de 2023;1.581
Total Nacional;02 Albacete;6 años;Hombres;1 de enero de 2023;1.800
Total Nacional;02 Albacete;6 años;Mujeres;1 de enero de 2023;1.661
Total Nacional;02 Albacete;7 años;Hombres;1 de enero de 2023;1.886
Total Nacional;02 Albacete;7 años;Mujeres;1 de enero de 2023;1.745
Total Nacional;02 Albacete;8 años;Hombres;1 de enero de 2023;1.935
Total Nacional;02 Albacete;8 años;Mujeres;1 de enero de 2023;1.745
Total Nacional;02 Albacete;9 años;Hombres;1 de enero de 2023;1.949
Total Nacional;02 Albacete;9 años;Mujeres;1 de enero de 2023;1.739
Total Nacional;02 Albacete;10 años;Hombres;1 de enero de 2023;1.898
Total Nacional;02 Albacete;10 años;Mujeres;1 de enero de 2023;1.850
Total Nacional;02 Albacete;11 años;Hombres;1 de enero de 2023;2.110
Total Nacional;02 Albacete;11 años;Mujeres;1 de enero de 2023;1.878
Total Nacional;02 Albacete;12 años;Hombres;1 de enero de 2023;2.035
Total Nacional;02 Albacete;12 años;Mujeres;1 de enero de 2023;1.953
Total Nacional;02 Albacete;13 años;Hombres;1 de enero de 2023;2.092
Total Nacional;02 Albacete;13 años;Mujeres;1 de enero de 2023;2.036
Total Nacional;02 Albacete;14 años;Hombres;1 de enero de 2023;2.153
Total Nacional;02 Albacete;14 años;Mujeres;1 de enero de 2023;2.034
Total Nacional;02 Albacete;15 años;Hombres;1 de enero de 2023;2.159
Total Nacional;02 Albacete;15 años;Mujeres;1 de enero de 2023;1.986
Total Nacional;02 Albacete;16 años;Hombres;1 de enero de 2023;2.161
Total Nacional;02 Albacete;16 años;Mujeres;1 de enero de 2023;2.050
Total Nacional;02 Albacete;17 años;Hombres;1 de enero de 2023;2.051
Total Nacional;02 Albacete;17 años;Mujeres;1 de enero de 2023;1.917
Total Nacional;02 Albacete;18 años;Hombres;1 de enero de 2023;2.144
Total Nacional;02 Albacete;18 años;Mujeres;1 de enero de 2023;1.888
Total Nacional;02 Albacete;19 años;Hombres;1 de enero de 2023;2.161
Total Nacional;02 Albacete;19 años;Mujeres;1 de enero de 2023;2.090
Total Nacional;02 Albacete;20 años;Hombres;1 de enero de 2023;2.129
Total Nacional;02 Albacete;20 años;Mujeres;1 de enero de 2023;2.071
Total Nacional;02 Albacete;21 años;Hombres;1 de enero de 2023;2.159
Total Nacional;02 Albacete;21 años;Mujeres;1 de enero de 2023;2.040
Total Nacional;02 Albacete;22 años;Hombres;1 de enero de 2023;2.221
Total Nacional;02 Albacete;22 años;Mujeres;1 de enero de 2023;2.091
Total Nacional;02 Albacete;23 años;Hombres;1 de enero de 2023;2.256
Total Nacional;02 Albacete;23 años;Mujeres;1 de enero de 2023;2.030
Total Nacional;02 Albacete;24 años;Hombres;1 de enero de 2023;2.282
Total Nacional;02 Albacete;24 años;Mujeres;1 de enero de 2023;2.062
Total Nacional;02 Albacete;25 años;Hombres;1 de enero de 2023;2.196
Total Nacional;02 Albacete;25 años;Mujeres;1 de enero de 2023;1.977
Total Nacional;02 Albacete;26 años;Hombres;1 de enero de 2023;2.221
Total Nacional;02 Albacete;26 años;Mujeres;1 de enero de 2023;1.962
Total Nacional;02 Albacete;27 años;Hombres;1 de enero de 2023;2.326
Total Nacional;02 Albacete;27 años;Mujeres;1 de enero de 2023;1.907
Total Nacional;02 Albacete;28 años;Hombres;1 de enero de 2023;2.276
Total Nacional;02 Albacete;28 años;Mujeres;1 de enero de 2023;1.961
Total Nacional;02 Albacete;29 años;Hombres;1 de enero de 2023;2.223
Total Nacional;02 Albacete;29 años;Mujeres;1 de enero de 2023;1.932
Total Nacional;02 Albacete;30 años;Hombres;1 de enero de 2023;2.271
Total Nacional;02 Albacete;30 años;Mujeres;1 de enero de 2023;2.123
Total Nacional;02 Albacete;31 años;Hombres;1 de enero de 2023;2.331
Total Nacional;02 Albacete;31 años;Mujeres;1 de enero de 2023;2.107
Total Nacional;02 Albacete;32 años;Hombres;1 de enero de 2023;2.404
Total Nacional;02 Albacete;32 años;Mujeres;1 de enero de 2023;2.207
Total Nacional;02 Albacete;33 años;Hombres;1 de enero de 2023;2.387
Total Nacional;02 Albacete;33 años;Mujeres;1 de enero de 2023;2.108
Total Nacional;02 Albacete;34 años;Hombres;1 de enero de 2023;2.290
Total Nacional;02 Albacete;34 años;Mujeres;1 de enero de 2023;2.112
Total Nacional;02 Albacete;35 años;Hombres;1 de enero de 2023;2.414
Total Nacional;02 Albacete;35 años;Mujeres;1 de enero de 2023;2.281
Total Nacional;02 Albacete;36 años;Hombres;1 de enero de 2023;2.450
Total Nacional;02 Albacete;36 años;Mujeres;1 de enero de 2023;2.300
Total Nacional;02 Albacete;37 años;Hombres;1 de enero de 2023;2.422
Total Nacional;02 Albacete;37 años;Mujeres;1 de enero de 2023;2.291
Total Nacional;02 Albacete;38 años;Hombres;1 de enero de 2023;2.555
Total Nacional;02 Albacete;38 años;Mujeres;1 de enero de 2023;2.379
Total Nacional;02 Albacete;39 años;Hombres;1 de enero de 2023;2.606
Total Nacional;02 Albacete;39 años;Mujeres;1 de enero de 2023;2.412
Total Nacional;02 Albacete;40 años;Hombres;1 de enero de 2023;2.785
Total Nacional;02 Albacete;40 años;Mujeres;1 de enero de 2023;2.567
Total Nacional;02 Albacete;41 años;Hombres;1 de enero de 2023;2.886
Total Nacional;02 Albacete;41 años;Mujeres;1 de enero de 2023;2.668
Total Nacional;02 Albacete;42 años;Hombres;1 de enero de 2023;2.928
Total Nacional;02 Albacete;42 años;Mujeres;1 de enero de 2023;2.748
Total Nacional;02 Albacete;43 años;Hombres;1 de enero de 2023;3.057
Total Nacional;02 Albacete;43 años;Mujeres;1 de enero de 2023;2.867
Total Nacional;02 Albacete;44 años;Hombres;1 de enero de 2023;3.258
Total Nacional;02 Albacete;44 años;Mujeres;1 de enero de 2023;2.970
Total Nacional;02 Albacete;45 años;Hombres;1 de enero de 2023;3.186
Total Nacional;02 Albacete;45 años;Mujeres;1 de enero de 2023;2.953
Total Nacional;02 Albacete;46 años;Hombres;1 de enero de 2023;3.203
Total Nacional;02 Albacete;46 años;Mujeres;1 de enero de 2023;3.122
Total Nacional;02 Albacete;47 años;Hombres;1 de enero de 2023;3.188
Total Nacional;02 Albacete;47 años;Mujeres;1 de enero de 2023;3.117
Total Nacional;02 Albacete;48 años;Hombres;1 de enero de 2023;3.181
Total Nacional;02 Albacete;48 años;Mujeres;1 de enero de 2023;3.070
Total Nacional;02 Albacete;49 años;Hombres;1 de enero de 2023;3.159
Total Nacional;02 Albacete;49 años;Mujeres;1 de enero de 2023;2.972
Total Nacional;02 Albacete;50 años;Hombres;1 de enero de 2023;3.066
Total Nacional;02 Albacete;50 años;Mujeres;1 de enero de 2023;3.029
Total Nacional;02 Albacete;51 años;Hombres;1 de enero de 2023;3.097
Total Nacional;02 Albacete;51 años;Mujeres;1 de enero de 2023;2.963
Total Nacional;02 Albacete;52 años;Hombres;1 de enero de 2023;3.069
Total Nacional;02 Albacete;52 años;Mujeres;1 de enero de 2023;3.095
Total Nacional;02 Albacete;53 años;Hombres;1 de enero de 2023;3.120
Total Nacional;02 Albacete;53 años;Mujeres;1 de enero de 2023;3.167
Total Nacional;02 Albacete;54 años;Hombres;1 de enero de 2023;3.139
Total Nacional;02 Albacete;54 años;Mujeres;1 de enero de 2023;3.108
Total Nacional;02 Albacete;55 años;Hombres;1 de enero de 2023;3.094
Total Nacional;02 Albacete;55 años;Mujeres;1 de enero de 2023;3.059
Total Nacional;02 Albacete;56 años;Hombres;1 de enero de 2023;3.057
Total Nacional;02 Albacete;56 años;Mujeres;1 de enero de 2023;3.052
Total Nacional;02 Albacete;57 años;Hombres;1 de enero de 2023;3.076
Total Nacional;02 Albacete;57 años;Mujeres;1 de enero de 2023;3.056
Total Nacional;02 Albacete;58 años;Hombres;1 de enero de 2023;3.182
Total Nacional;02 Albacete;58 años;Mujeres;1 de enero de 2023;3.177
Total Nacional;02 Albacete;59 años;Hombres;1 de enero de 2023;3.006
Total Nacional;02 Albacete;59 años;Mujeres;1 de enero de 2023;3.012
Total Nacional;02 Albacete;60 años;Hombres;1 de enero de 2023;2.800
Total Nacional;02 Albacete;60 años;Mujeres;1 de enero de 2023;2.894
Total Nacional;02 Albacete;61 años;Hombres;1 de enero de 2023;2.836
Total Nacional;02 Albacete;61 años;Mujeres;1 de enero de 2023;2.751
Total Nacional;02 Albacete;62 años;Hombres;1 de enero de 2023;2.842
Total Nacional;02 Albacete;62 años;Mujeres;1 de enero de 2023;2.777
Total Nacional;02 Albacete;63 años;Hombres;1 de enero de 2023;2.754
Total Nacional;02 Albacete;63 años;Mujeres;1 de enero de 2023;2.642
Total Nacional;02 Albacete;64 años;Hombres;1 de enero de 2023;2.451
Total Nacional;02 Albacete;64 años;Mujeres;1 de enero de 2023;2.573
Total Nacional;02 Albacete;65 años;Hombres;1 de enero de 2023;2.362
Total Nacional;02 Albacete;65 años;Mujeres;1 de enero de 2023;2.403
Total Nacional;02 Albacete;66 años;Hombres;1 de enero de 2023;1.965
Total Nacional;02 Albacete;66 años;Mujeres;1 de enero de 2023;2.073
Total Nacional;02 Albacete;67 años;Hombres;1 de enero de 2023;1.887
Total Nacional;02 Albacete;67 años;Mujeres;1 de enero de 2023;2.077
Total Nacional;02 Albacete;68 años;Hombres;1 de enero de 2023;1.802
Total Nacional;02 Albacete;68 años;Mujeres;1 de enero de 2023;1.975
Total Nacional;02 Albacete;69 años;Hombres;1 de enero de 2023;1.765
Total Nacional;02 Albacete;69 años;Mujeres;1 de enero de 2023;1.995
Total Nacional;02 Albacete;70 años;Hombres;1 de enero de 2023;1.805
Total Nacional;02 Albacete;70 años;Mujeres;1 de enero de 2023;1.903
Total Nacional;02 Albacete;71 años;Hombres;1 de enero de 2023;1.597
Total Nacional;02 Albacete;71 años;Mujeres;1 de enero de 2023;1.711
Total Nacional;02 Albacete;72 años;Hombres;1 de enero de 2023;1.583
Total Nacional;02 Albacete;72 años;Mujeres;1 de enero de 2023;1.787
Total Nacional;02 Albacete;73 años;Hombres;1 de enero de 2023;1.622
Total Nacional;02 Albacete;73 años;Mujeres;1 de enero de 2023;1.725
Total Nacional;02 Albacete;74 años;Hombres;1 de enero de 2023;1.660
Total Nacional;02 Albacete;74 años;Mujeres;1 de enero de 2023;1.952
Total Nacional;02 Albacete;75 años;Hombres;1 de enero de 2023;1.423
Total Nacional;02 Albacete;75 años;Mujeres;1 de enero de 2023;1.616
Total Nacional;02 Albacete;76 años;Hombres;1 de enero de 2023;1.262
Total Nacional;02 Albacete;76 años;Mujeres;1 de enero de 2023;1.552
Total Nacional;02 Albacete;77 años;Hombres;1 de enero de 2023;1.339
Total Nacional;02 Albacete;77 años;Mujeres;1 de enero de 2023;1.585
Total Nacional;02 Albacete;78 años;Hombres;1 de enero de 2023;1.215
Total Nacional;02 Albacete;78 años;Mujeres;1 de enero de 2023;1.650
Total Nacional;02 Albacete;79 años;Hombres;1 de enero de 2023;1.244
Total Nacional;02 Albacete;79 años;Mujeres;1 de enero de 2023;1.533
Total Nacional;02 Albacete;80 años;Hombres;1 de enero de 2023;1.047
Total Nacional;02 Albacete;80 años;Mujeres;1 de enero de 2023;1.398
Total Nacional;02 Albacete;81 años;Hombres;1 de enero de 2023;920
Total Nacional;02 Albacete;81 años;Mujeres;1 de enero de 2023;1.266
Total Nacional;02 Albacete;82 años;Hombres;1 de enero de 2023;1.315
