Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;42 años;Hombres;1 de enero de 2019;3.196
Total Nacional;02 Albacete;42 años;Mujeres;1 de enero de 2019;3.098
Total Nacional;02 Albacete;43 años;Hombres;1 de enero de 2019;3.198
Total Nacional;02 Albacete;43 años;Mujeres;1 de enero de 2019;3.101
Total Nacional;02 Albacete;44 años;Hombres;1 de enero de 2019;3.221
Total Nacional;02 Albacete;44 años;Mujeres;1 de enero de 2019;3.020
Total Nacional;02 Albacete;45 años;Hombres;1 de enero de 2019;3.183
Total Nacional;02 Albacete;45 años;Mujeres;1 de enero de 2019;2.933
Total Nacional;02 Albacete;46 años;Hombres;1 de enero de 2019;3.077
Total Nacional;02 Albacete;46 años;Mujeres;1 de enero de 2019;2.978
Total Nacional;02 Albacete;47 años;Hombres;1 de enero de 2019;3.082
Total Nacional;02 Albacete;47 años;Mujeres;1 de enero de 2019;2.951
Total Nacional;02 Albacete;48 años;Hombres;1 de enero de 2019;3.083
Total Nacional;02 Albacete;48 años;Mujeres;1 de enero de 2019;3.074
Total Nacional;02 Albacete;49 años;Hombres;1 de enero de 2019;3.154
Total Nacional;02 Albacete;49 años;Mujeres;1 de enero de 2019;3.154
Total Nacional;02 Albacete;50 años;Hombres;1 de enero de 2019;3.152
Total Nacional;02 Albacete;50 años;Mujeres;1 de enero de 2019;3.124
Total Nacional;02 Albacete;51 años;Hombres;1 de enero de 2019;3.148
Total Nacional;02 Albacete;51 años;Mujeres;1 de enero de 2019;3.048
Total Nacional;02 Albacete;52 años;Hombres;1 de enero de 2019;3.108
Total Nacional;02 Albacete;52 años;Mujeres;1 de enero de 2019;3.037
Total Nacional;02 Albacete;53 años;Hombres;1 de enero de 2019;3.119
Total Nacional;02 Albacete;53 años;Mujeres;1 de enero de 2019;3.060
Total Nacional;02 Albacete;54 años;Hombres;1 de enero de 2019;3.231
Total Nacional;02 Albacete;54 años;Mujeres;1 de enero de 2019;3.157
Total Nacional;02 Albacete;55 años;Hombres;1 de enero de 2019;3.074
Total Nacional;02 Albacete;55 años;Mujeres;1 de enero de 2019;2.996
Total Nacional;02 Albacete;56 años;Hombres;1 de enero de 2019;2.861
Total Nacional;02 Albacete;56 años;Mujeres;1 de enero de 2019;2.915
Total Nacional;02 Albacete;57 años;Hombres;1 de enero de 2019;2.874
Total Nacional;02 Albacete;57 años;Mujeres;1 de enero de 2019;2.748
Total Nacional;02 Albacete;58 años;Hombres;1 de enero de 2019;2.928
Total Nacional;02 Albacete;58 años;Mujeres;1 de enero de 2019;2.790
Total Nacional;02 Albacete;59 años;Hombres;1 de enero de 2019;2.822
Total Nacional;02 Albacete;59 años;Mujeres;1 de enero de 2019;2.654
Total Nacional;02 Albacete;60 años;Hombres;1 de enero de 2019;2.546
Total Nacional;02 Albacete;60 años;Mujeres;1 de enero de 2019;2.597
Total Nacional;02 Albacete;61 años;Hombres;1 de enero de 2019;2.450
Total Nacional;02 Albacete;61 años;Mujeres;1 de enero de 2019;2.444
Total Nacional;02 Albacete;62 años;Hombres;1 de enero de 2019;2.036
Total Nacional;02 Albacete;62 años;Mujeres;1 de enero de 2019;2.093
Total Nacional;02 Albacete;63 años;Hombres;1 de enero de 2019;1.982
Total Nacional;02 Albacete;63 años;Mujeres;1 de enero de 2019;2.087
Total Nacional;02 Albacete;64 años;Hombres;1 de enero de 2019;1.914
Total Nacional;02 Albacete;64 años;Mujeres;1 de enero de 2019;1.985
Total Nacional;02 Albacete;65 años;Hombres;1 de enero de 2019;1.886
Total Nacional;02 Albacete;65 años;Mujeres;1 de enero de 2019;2.029
Total Nacional;02 Albacete;66 años;Hombres;1 de enero de 2019;1.906
Total Nacional;02 Albacete;66 años;Mujeres;1 de enero de 2019;1.929
Total Nacional;02 Albacete;67 años;Hombres;1 de enero de 2019;1.696
Total Nacional;02 Albacete;67 años;Mujeres;1 de enero de 2019;1.762
Total Nacional;02 Albacete;68 años;Hombres;1 de enero de 2019;1.695
Total Nacional;02 Albacete;68 años;Mujeres;1 de enero de 2019;1.829
Total Nacional;02 Albacete;69 años;Hombres;1 de enero de 2019;1.746
Total Nacional;02 Albacete;69 años;Mujeres;1 de enero de 2019;1.795
Total Nacional;02 Albacete;70 años;Hombres;1 de enero de 2019;1.794
Total Nacional;02 Albacete;70 años;Mujeres;1 de enero de 2019;2.022
Total Nacional;02 Albacete;71 años;Hombres;1 de enero de 2019;1.559
Total Nacional;02 Albacete;71 años;Mujeres;1 de enero de 2019;1.690
Total Nacional;02 Albacete;72 años;Hombres;1 de enero de 2019;1.395
Total Nacional;02 Albacete;72 años;Mujeres;1 de enero de 2019;1.634
Total Nacional;02 Albacete;73 años;Hombres;1 de enero de 2019;1.506
Total Nacional;02 Albacete;73 años;Mujeres;1 de enero de 2019;1.679
Total Nacional;02 Albacete;74 años;Hombres;1 de enero de 2019;1.390
Total Nacional;02 Albacete;74 años;Mujeres;1 de enero de 2019;1.768
Total Nacional;02 Albacete;75 años;Hombres;1 de enero de 2019;1.465
Total Nacional;02 Albacete;75 años;Mujeres;1 de enero de 2019;1.640
Total Nacional;02 Albacete;76 años;Hombres;1 de enero de 2019;1.231
Total Nacional;02 Albacete;76 años;Mujeres;1 de enero de 2019;1.510
Total Nacional;02 Albacete;77 años;Hombres;1 de enero de 2019;1.102
Total Nacional;02 Albacete;77 años;Mujeres;1 de enero de 2019;1.368
Total Nacional;02 Albacete;78 años;Hombres;1 de enero de 2019;1.645
Total Nacional;02 Albacete;78 años;Mujeres;1 de enero de 2019;1.992
Total Nacional;02 Albacete;79 años;Hombres;1 de enero de 2019;750
