Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;0 años;Hombres;1 de enero de 2021;1.384
Total Nacional;02 Albacete;0 años;Mujeres;1 de enero de 2021;1.349
Total Nacional;02 Albacete;1 año;Hombres;1 de enero de 2021;1.476
Total Nacional;02 Albacete;1 año;Mujeres;1 de enero de 2021;1.394
Total Nacional;02 Albacete;2 años;Hombres;1 de enero de 2021;1.559
Total Nacional;02 Albacete;2 años;Mujeres;1 de enero de 2021;1.476
Total Nacional;02 Albacete;3 años;Hombres;1 de enero de 2021;1.722
Total Nacional;02 Albacete;3 años;Mujeres;1 de enero de 2021;1.548
Total Nacional;02 Albacete;4 años;Hombres;1 de enero de 2021;1.751
Total Nacional;02 Albacete;4 años;Mujeres;1 de enero de 2021;1.637
Total Nacional;02 Albacete;5 años;Hombres;1 de enero de 2021;1.863
Total Nacional;02 Albacete;5 años;Mujeres;1 de enero de 2021;1.716
Total Nacional;02 Albacete;6 años;Hombres;1 de enero de 2021;1.892
Total Nacional;02 Albacete;6 años;Mujeres;1 de enero de 2021;1.706
Total Nacional;02 Albacete;7 años;Hombres;1 de enero de 2021;1.922
Total Nacional;02 Albacete;7 años;Mujeres;1 de enero de 2021;1.687
Total Nacional;02 Albacete;8 años;Hombres;1 de enero de 2021;1.858
Total Nacional;02 Albacete;8 años;Mujeres;1 de enero de 2021;1.815
Total Nacional;02 Albacete;9 años;Hombres;1 de enero de 2021;2.063
Total Nacional;02 Albacete;9 años;Mujeres;1 de enero de 2021;1.832
Total Nacional;02 Albacete;10 años;Hombres;1 de enero de 2021;2.007
Total Nacional;02 Albacete;10 años;Mujeres;1 de enero de 2021;1.919
Total Nacional;02 Albacete;11 años;Hombres;1 de enero de 2021;2.062
Total Nacional;02 Albacete;11 años;Mujeres;1 de enero de 2021;2.010
Total Nacional;02 Albacete;12 años;Hombres;1 de enero de 2021;2.130
Total Nacional;02 Albacete;12 años;Mujeres;1 de enero de 2021;2.000
Total Nacional;02 Albacete;13 años;Hombres;1 de enero de 2021;2.119
Total Nacional;02 Albacete;13 años;Mujeres;1 de enero de 2021;1.949
