Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;0 años;Hombres;1 de enero de 2018;1.680
Total Nacional;02 Albacete;0 años;Mujeres;1 de enero de 2018;1.531
Total Nacional;02 Albacete;1 año;Hombres;1 de enero de 2018;1.742
Total Nacional;02 Albacete;1 año;Mujeres;1 de enero de 2018;1.605
Total Nacional;02 Albacete;2 años;Hombres;1 de enero de 2018;1.838
Total Nacional;02 Albacete;2 años;Mujeres;1 de enero de 2018;1.672
Total Nacional;02 Albacete;3 años;Hombres;1 de enero de 2018;1.857
Total Nacional;02 Albacete;3 años;Mujeres;1 de enero de 2018;1.697
Total Nacional;02 Albacete;4 años;Hombres;1 de enero de 2018;1.887
Total Nacional;02 Albacete;4 años;Mujeres;1 de enero de 2018;1.666
Total Nacional;02 Albacete;5 años;Hombres;1 de enero de 2018;1.838
Total Nacional;02 Albacete;5 años;Mujeres;1 de enero de 2018;1.792
Total Nacional;02 Albacete;6 años;Hombres;1 de enero de 2018;2.029
Total Nacional;02 Albacete;6 años;Mujeres;1 de enero de 2018;1.821
Total Nacional;02 Albacete;7 años;Hombres;1 de enero de 2018;1.981
Total Nacional;02 Albacete;7 años;Mujeres;1 de enero de 2018;1.905
Total Nacional;02 Albacete;8 años;Hombres;1 de enero de 2018;2.037
Total Nacional;02 Albacete;8 años;Mujeres;1 de enero de 2018;2.002
Total Nacional;02 Albacete;9 años;Hombres;1 de enero de 2018;2.118
Total Nacional;02 Albacete;9 años;Mujeres;1 de enero de 2018;1.977
Total Nacional;02 Albacete;10 años;Hombres;1 de enero de 2018;2.112
Total Nacional;02 Albacete;10 años;Mujeres;1 de enero de 2018;1.936
Total Nacional;02 Albacete;11 años;Hombres;1 de enero de 2018;2.104
Total Nacional;02 Albacete;11 años;Mujeres;1 de enero de 2018;1.964
Total Nacional;02 Albacete;12 años;Hombres;1 de enero de 2018;1.991
Total Nacional;02 Albacete;12 años;Mujeres;1 de enero de 2018;1.871
Total Nacional;02 Albacete;13 años;Hombres;1 de enero de 2018;2.040
Total Nacional;02 Albacete;13 años;Mujeres;1 de enero de 2018;1.825
Total Nacional;02 Albacete;14 años;Hombres;1 de enero de 2018;2.046
Total Nacional;02 Albacete;14 años;Mujeres;1 de enero de 2018;1.986
Total Nacional;02 Albacete;15 años;Hombres;1 de enero de 2018;2.005
Total Nacional;02 Albacete;15 años;Mujeres;1 de enero de 2018;1.966
Total Nacional;02 Albacete;16 años;Hombres;1 de enero de 2018;2.005
Total Nacional;02 Albacete;16 años;Mujeres;1 de enero de 2018;1.949
Total Nacional;02 Albacete;17 años;Hombres;1 de enero de 2018;2.098
Total Nacional;02 Albacete;17 años;Mujeres;1 de enero de 2018;2.032
